text,category,timestamp
I was missed due to illness due to medical reasons.,Exams,2026-02-17 16:07:49.912943
I cannot see this week.,Timetable,2026-01-23 13:45:42.912943
I update my profile details.,General,2026-02-06 20:44:02.913941
Can you help me to ask about library hours.,General,2026-01-27 10:12:47.912943
Can you help me to know about student clubs.,General,2026-02-06 11:13:44.912943
Can you help me to update my profile details.,General,2026-02-10 06:32:10.912943
The transaction is showing an error this afternoon.,Fees,2026-02-01 18:15:50.912943
The portal is crashing after password reset.,IT,2026-01-25 01:11:25.912943
The system keeps showing an error when I try to sign in.,IT,2026-02-09 20:53:32.912943
The schedule has overlapping classes for this semester.,Timetable,2026-02-10 18:20:36.912943
My fee payment is showing an error this afternoon.,Fees,2026-02-11 08:29:39.912943
The exam schedule is not showing due to medical reasons.,Exams,2026-02-14 01:25:59.912943
Moodle cannot access since yesterday.,IT,2026-02-15 14:30:50.911954
The tuition fee is showing an error this afternoon.,Fees,2026-01-29 08:40:33.912943
My fee payment was deducted but not reflected yesterday.,Fees,2026-01-31 22:53:53.912943
My fee payment is showing an error during checkout.,Fees,2026-02-12 22:35:17.912943
I cannot access after password reset.,IT,2026-02-10 14:20:51.911954
Can you help me to update my profile details.,General,2026-02-15 01:15:27.912943
The transaction failed while paying online.,Fees,2026-02-11 13:23:21.912943
My payment is showing an error this afternoon.,Fees,2026-01-30 21:29:15.912943
The schedule cannot see since registration.,Timetable,2026-02-15 11:01:23.912943
I would like to know about student clubs.,General,2026-02-06 20:00:52.913941
The transaction was deducted but not reflected after submission.,Fees,2026-01-21 07:13:06.912943
The schedule is missing on the portal.,Timetable,2026-02-12 19:35:57.912943
I would like to change my contact information.,General,2026-01-24 08:34:15.912943
My fee payment failed this afternoon.,Fees,2026-02-16 09:43:57.912943
I would like to update my profile details.,General,2026-01-24 01:17:16.913941
My exam was missed due to illness during finals week.,Exams,2026-01-28 23:04:28.912943
I cannot see since registration.,Timetable,2026-02-03 00:51:15.912943
I has a clash because of emergency.,Exams,2026-01-29 20:28:47.912943
Can you help me to ask about library hours.,General,2026-02-10 17:14:49.913941
The tuition fee failed during checkout.,Fees,2026-02-05 10:31:22.912943
My account is crashing when I try to sign in.,IT,2026-02-17 02:02:24.911954
The system is not working after password reset.,IT,2026-02-06 14:50:47.912943
The exam schedule has a clash during finals week.,Exams,2026-02-15 22:29:04.912943
My exam has a clash during finals week.,Exams,2026-02-17 12:22:45.912943
The exam schedule need a deferral due to medical reasons.,Exams,2026-01-23 06:25:28.912943
Moodle is not working this morning.,IT,2026-01-20 20:20:22.912943
My exam was missed due to illness this semester.,Exams,2026-02-15 17:52:47.912943
The portal cannot access this morning.,IT,2026-02-05 00:46:43.912943
My timetable is incorrect for this semester.,Timetable,2026-01-24 07:45:31.912943
I would like to ask about library hours.,General,2026-01-30 07:44:59.912943
My timetable is not updated since registration.,Timetable,2026-01-18 10:56:42.912943
I change my contact information.,General,2026-01-31 18:44:21.912943
Moodle cannot access after password reset.,IT,2026-02-01 15:58:11.912943
I cannot access when I try to sign in.,IT,2026-01-22 21:56:13.912943
The schedule is not updated since registration.,Timetable,2026-01-21 17:03:51.912943
The system cannot access when I try to sign in.,IT,2026-02-10 12:20:07.912943
My timetable is incorrect this week.,Timetable,2026-02-12 19:47:06.912943
I would like to change my contact information.,General,2026-01-31 20:58:51.912943
The system cannot access during login.,IT,2026-02-09 18:16:18.912943
Can you help me to change my contact information.,General,2026-02-08 22:34:10.912943
I update my profile details.,General,2026-01-23 16:26:50.912943
The exam schedule has a clash because of emergency.,Exams,2026-02-03 08:57:58.912943
My payment was declined after submission.,Fees,2026-02-02 22:15:35.912943
The schedule cannot see this week.,Timetable,2026-02-03 07:25:42.912943
The tuition fee did not go through yesterday.,Fees,2026-02-04 07:38:03.912943
My exam was missed due to illness due to medical reasons.,Exams,2026-01-30 11:42:07.912943
I is not updated after enrollment.,Timetable,2026-01-26 17:52:36.912943
My timetable is missing since registration.,Timetable,2026-01-31 17:12:29.912943
My exam has a clash due to medical reasons.,Exams,2026-02-14 09:06:00.912943
My timetable cannot see after enrollment.,Timetable,2026-01-25 05:15:14.912943
Moodle is not working during login.,IT,2026-02-08 14:32:53.912943
I was missed due to illness due to medical reasons.,Exams,2026-01-25 17:41:23.912943
Can you help me to change my contact information.,General,2026-02-02 13:15:05.913941
Moodle keeps showing an error since yesterday.,IT,2026-02-11 01:49:26.912943
I is not showing due to medical reasons.,Exams,2026-02-07 18:06:21.912943
The exam schedule needs clarification due to medical reasons.,Exams,2026-02-14 13:57:40.912943
I get information about campus facilities.,General,2026-01-29 04:00:45.912943
I is not showing due to medical reasons.,Exams,2026-01-25 07:20:47.912943
My fee payment failed this afternoon.,Fees,2026-02-10 18:03:21.912943
My account is crashing this morning.,IT,2026-02-10 06:07:09.912943
I would like to ask about library hours.,General,2026-01-29 16:41:40.912943
The transaction is showing an error after submission.,Fees,2026-02-03 14:41:37.912943
The exam schedule was missed due to illness for tomorrow.,Exams,2026-02-16 10:19:54.912943
My payment was deducted but not reflected while paying online.,Fees,2026-02-11 06:49:21.912943
My exam was missed due to illness this semester.,Exams,2026-01-28 20:10:22.912943
I know about student clubs.,General,2026-02-15 03:53:17.912943
I is not working during login.,IT,2026-01-23 07:06:14.912943
My timetable is incorrect for this semester.,Timetable,2026-02-10 11:59:05.912943
The tuition fee was deducted but not reflected after submission.,Fees,2026-02-15 10:27:08.912943
My fee payment was deducted but not reflected after submission.,Fees,2026-01-26 11:42:35.912943
I ask about library hours.,General,2026-01-21 13:22:19.912943
The portal won't let me log in during login.,IT,2026-01-23 05:15:14.912943
The schedule has overlapping classes this week.,Timetable,2026-01-27 13:42:21.912943
I would like to change my contact information.,General,2026-02-06 01:42:21.912943
I would like to change my contact information.,General,2026-01-24 01:22:35.912943
I need a deferral because of emergency.,Exams,2026-02-15 14:45:06.912943
The schedule is not updated this week.,Timetable,2026-01-18 21:43:08.912943
The schedule cannot see on the portal.,Timetable,2026-02-13 01:58:55.912943
I won't let me log in after password reset.,IT,2026-02-16 22:20:43.912943
The system keeps showing an error during login.,IT,2026-02-16 13:42:16.912943
The exam schedule need a deferral because of emergency.,Exams,2026-02-06 12:55:45.912943
The exam schedule needs clarification due to medical reasons.,Exams,2026-01-24 14:05:45.912943
My timetable is not updated on the portal.,Timetable,2026-02-10 05:41:04.912943
Moodle keeps showing an error this morning.,IT,2026-02-04 05:28:14.912943
Moodle is crashing since yesterday.,IT,2026-01-19 08:41:32.912943
I is missing this week.,Timetable,2026-02-04 01:52:10.912943
I need a deferral due to medical reasons.,Exams,2026-01-21 02:13:17.912943
My timetable is not updated since registration.,Timetable,2026-02-08 01:46:16.912943
My timetable cannot see after enrollment.,Timetable,2026-01-25 11:36:15.912943
The exam schedule needs clarification for tomorrow.,Exams,2026-02-15 19:21:59.912943
The tuition fee did not go through after submission.,Fees,2026-01-27 18:18:34.912943
Moodle keeps showing an error after password reset.,IT,2026-02-13 14:38:06.912943
I was missed due to illness for tomorrow.,Exams,2026-01-30 02:01:39.912943
The tuition fee did not go through yesterday.,Fees,2026-01-29 16:55:34.912943
I has a clash for tomorrow.,Exams,2026-02-15 03:09:36.912943
I is not working during login.,IT,2026-02-11 02:56:55.912943
My fee payment was declined during checkout.,Fees,2026-02-09 20:51:30.912943
Moodle is not working when I try to sign in.,IT,2026-02-13 01:41:00.912943
My exam need a deferral during finals week.,Exams,2026-01-20 02:02:03.912943
I would like to ask about library hours.,General,2026-02-10 08:24:52.913941
The tuition fee is showing an error after submission.,Fees,2026-01-20 01:12:31.912943
I would like to ask about library hours.,General,2026-01-18 20:13:18.912943
My exam was missed due to illness this semester.,Exams,2026-02-01 02:07:54.912943
The exam schedule need a deferral for tomorrow.,Exams,2026-02-02 06:09:11.912943
The tuition fee did not go through during checkout.,Fees,2026-02-17 20:47:30.912943
My account cannot access when I try to sign in.,IT,2026-02-15 00:58:30.911954
My exam needs clarification due to medical reasons.,Exams,2026-02-11 03:49:13.912943
Can you help me to change my contact information.,General,2026-01-23 17:33:52.913941
I has a clash during finals week.,Exams,2026-02-16 19:30:14.912943
I is incorrect since registration.,Timetable,2026-02-07 03:59:17.912943
The schedule is missing after enrollment.,Timetable,2026-02-03 04:49:35.912943
I would like to ask about library hours.,General,2026-01-20 19:35:23.913941
Can you help me to update my profile details.,General,2026-01-29 12:06:01.912943
My exam was missed due to illness during finals week.,Exams,2026-02-08 05:57:18.912943
The transaction was declined this afternoon.,Fees,2026-01-24 04:52:15.912943
I has a clash for tomorrow.,Exams,2026-01-18 21:07:10.912943
I get information about campus facilities.,General,2026-01-17 23:36:41.912943
I needs clarification due to medical reasons.,Exams,2026-01-22 05:57:46.912943
My fee payment was deducted but not reflected while paying online.,Fees,2026-01-22 14:11:16.912943
I is not working during login.,IT,2026-02-04 04:47:34.912943
The schedule is incorrect since registration.,Timetable,2026-01-25 02:26:07.912943
My fee payment is showing an error while paying online.,Fees,2026-01-24 13:28:21.912943
The tuition fee is showing an error during checkout.,Fees,2026-01-29 03:01:39.912943
The transaction failed while paying online.,Fees,2026-02-01 11:12:49.912943
I update my profile details.,General,2026-02-07 11:11:05.913941
The portal keeps showing an error since yesterday.,IT,2026-01-24 16:39:41.912943
I update my profile details.,General,2026-02-13 19:39:53.912943
I know about student clubs.,General,2026-02-12 00:32:30.912943
The schedule cannot see since registration.,Timetable,2026-01-25 10:44:20.912943
The schedule is incorrect this week.,Timetable,2026-02-16 16:05:45.912943
I is missing since registration.,Timetable,2026-02-09 01:00:29.912943
My timetable is not updated since registration.,Timetable,2026-01-19 12:20:49.912943
I change my contact information.,General,2026-02-03 20:11:15.913941
Moodle is not working since yesterday.,IT,2026-02-13 22:28:53.912943
The schedule is incorrect since registration.,Timetable,2026-02-02 06:26:14.912943
The tuition fee is showing an error during checkout.,Fees,2026-02-16 11:15:03.912943
Can you help me to update my profile details.,General,2026-02-05 16:51:29.912943
I know about student clubs.,General,2026-01-20 03:47:01.912943
The transaction failed during checkout.,Fees,2026-01-27 11:10:20.912943
My fee payment failed this afternoon.,Fees,2026-01-19 02:52:12.912943
The schedule is incorrect for this semester.,Timetable,2026-02-15 14:08:22.912943
I is not working after password reset.,IT,2026-02-15 13:59:55.912943
My account is crashing this morning.,IT,2026-02-15 20:45:32.912943
My timetable is missing for this semester.,Timetable,2026-02-09 05:04:51.912943
I is not working since yesterday.,IT,2026-01-29 20:00:00.912943
The transaction is showing an error this afternoon.,Fees,2026-01-22 04:05:45.912943
My account keeps showing an error this morning.,IT,2026-02-12 22:58:20.912943
The exam schedule is not showing for tomorrow.,Exams,2026-02-03 19:43:58.912943
The transaction is showing an error yesterday.,Fees,2026-01-26 12:04:17.912943
I cannot access when I try to sign in.,IT,2026-02-02 04:09:58.912943
The schedule has overlapping classes for this semester.,Timetable,2026-01-21 22:01:40.912943
Moodle is crashing after password reset.,IT,2026-01-31 22:03:23.912943
My payment was declined during checkout.,Fees,2026-02-14 11:29:38.912943
My payment is showing an error during checkout.,Fees,2026-01-21 05:39:52.912943
My payment was deducted but not reflected during checkout.,Fees,2026-01-30 12:48:32.912943
The exam schedule has a clash during finals week.,Exams,2026-02-11 13:59:28.912943
I needs clarification because of emergency.,Exams,2026-02-04 18:32:37.912943
My exam is not showing for tomorrow.,Exams,2026-01-30 20:41:19.912943
Can you help me to know about student clubs.,General,2026-02-07 19:02:00.912943
The exam schedule was missed due to illness this semester.,Exams,2026-02-04 06:02:01.912943
The portal cannot access since yesterday.,IT,2026-01-25 04:46:48.912943
The transaction was deducted but not reflected this afternoon.,Fees,2026-01-26 12:24:56.912943
My fee payment failed during checkout.,Fees,2026-01-25 10:22:47.912943
I know about student clubs.,General,2026-02-13 21:04:47.913941
The transaction was declined after submission.,Fees,2026-01-28 13:45:49.912943
Can you help me to get information about campus facilities.,General,2026-02-01 15:24:52.912943
The schedule has overlapping classes after enrollment.,Timetable,2026-01-27 07:53:39.912943
My payment failed after submission.,Fees,2026-02-10 16:04:14.912943
I know about student clubs.,General,2026-02-17 10:52:17.913941
I would like to know about student clubs.,General,2026-02-05 07:35:29.912943
My exam was missed due to illness during finals week.,Exams,2026-01-31 10:38:05.912943
I is not working since yesterday.,IT,2026-01-23 10:59:20.912943
My fee payment was declined after submission.,Fees,2026-01-20 16:40:46.912943
I is crashing during login.,IT,2026-02-09 12:12:57.912943
The tuition fee was declined this afternoon.,Fees,2026-02-08 07:41:22.912943
My timetable cannot see on the portal.,Timetable,2026-02-14 02:09:20.912943
My exam needs clarification for tomorrow.,Exams,2026-01-20 19:31:58.912943
The transaction was declined after submission.,Fees,2026-02-04 20:12:26.912943
I needs clarification because of emergency.,Exams,2026-02-03 10:03:46.912943
Can you help me to update my profile details.,General,2026-02-07 22:35:17.912943
The system is crashing when I try to sign in.,IT,2026-02-17 02:16:55.912943
The tuition fee is showing an error while paying online.,Fees,2026-01-24 09:02:36.912943
The exam schedule is not showing this semester.,Exams,2026-01-28 18:56:12.912943
I needs clarification because of emergency.,Exams,2026-02-12 17:46:15.912943
The exam schedule is not showing for tomorrow.,Exams,2026-02-05 12:25:47.912943
The exam schedule is not showing for tomorrow.,Exams,2026-02-04 09:36:01.912943
Can you help me to change my contact information.,General,2026-02-14 07:43:39.912943
My fee payment did not go through yesterday.,Fees,2026-02-08 03:42:26.912943
I has a clash during finals week.,Exams,2026-01-27 07:52:56.912943
I would like to update my profile details.,General,2026-02-15 05:24:05.912943
Moodle is not working since yesterday.,IT,2026-02-03 02:26:15.912943
The schedule is not updated after enrollment.,Timetable,2026-02-14 15:24:24.912943
The system keeps showing an error during login.,IT,2026-01-27 11:02:07.912943
My payment is showing an error while paying online.,Fees,2026-01-28 05:44:09.912943
I change my contact information.,General,2026-02-08 15:08:05.913941
Can you help me to know about student clubs.,General,2026-02-14 09:04:30.913941
The portal keeps showing an error when I try to sign in.,IT,2026-02-11 19:56:31.912943
The schedule is incorrect since registration.,Timetable,2026-02-09 22:07:56.912943
The system cannot access since yesterday.,IT,2026-02-05 18:57:11.912943
I is crashing after password reset.,IT,2026-01-21 23:35:10.912943
My payment was declined yesterday.,Fees,2026-02-06 03:04:40.912943
The tuition fee did not go through during checkout.,Fees,2026-01-23 16:01:41.912943
The tuition fee is showing an error during checkout.,Fees,2026-02-06 13:04:05.912943
My exam is not showing due to medical reasons.,Exams,2026-01-18 16:55:01.912943
My payment was deducted but not reflected during checkout.,Fees,2026-02-05 13:36:57.912943
I is not updated on the portal.,Timetable,2026-02-09 20:49:02.912943
I would like to get information about campus facilities.,General,2026-01-24 02:49:19.912943
The exam schedule is not showing due to medical reasons.,Exams,2026-02-06 22:15:07.912943
I would like to ask about library hours.,General,2026-02-06 23:38:17.912943
I would like to change my contact information.,General,2026-01-29 09:37:43.913941
The portal is not working since yesterday.,IT,2026-02-14 23:29:48.912943
I would like to change my contact information.,General,2026-01-24 05:23:40.913941
My fee payment failed after submission.,Fees,2026-02-07 07:45:13.912943
Moodle is crashing this morning.,IT,2026-02-06 14:29:21.912943
Can you help me to know about student clubs.,General,2026-01-18 03:19:16.913941
My fee payment is showing an error this afternoon.,Fees,2026-01-24 13:43:28.912943
I has a clash this semester.,Exams,2026-01-23 02:50:06.912943
Can you help me to know about student clubs.,General,2026-02-05 20:56:03.912943
The portal is crashing during login.,IT,2026-02-13 08:51:38.912943
I know about student clubs.,General,2026-01-22 23:58:09.912943
The tuition fee was deducted but not reflected yesterday.,Fees,2026-01-30 21:32:22.912943
The exam schedule was missed due to illness because of emergency.,Exams,2026-01-30 16:50:54.912943
I cannot access since yesterday.,IT,2026-02-05 10:07:14.912943
I is not showing because of emergency.,Exams,2026-02-14 12:09:42.912943
The system is not working this morning.,IT,2026-02-04 23:04:08.912943
My timetable is not updated since registration.,Timetable,2026-02-06 10:22:14.912943
My account keeps showing an error since yesterday.,IT,2026-01-20 13:34:49.912943
My timetable cannot see for this semester.,Timetable,2026-02-03 16:25:02.912943
I know about student clubs.,General,2026-01-22 17:01:50.913941
I needs clarification because of emergency.,Exams,2026-02-14 13:50:16.912943
The exam schedule is not showing for tomorrow.,Exams,2026-01-21 22:30:32.912943
The exam schedule has a clash this semester.,Exams,2026-01-27 04:55:06.912943
My account won't let me log in since yesterday.,IT,2026-02-05 12:49:07.912943
I is missing on the portal.,Timetable,2026-01-31 19:44:29.912943
I need a deferral this semester.,Exams,2026-02-17 09:25:52.912943
The tuition fee was declined yesterday.,Fees,2026-01-22 09:01:54.912943
Moodle cannot access during login.,IT,2026-02-10 20:08:35.912943
I ask about library hours.,General,2026-02-12 19:21:26.913941
The portal is not working after password reset.,IT,2026-02-10 23:22:57.912943
Can you help me to change my contact information.,General,2026-01-29 19:23:23.912943
The tuition fee failed while paying online.,Fees,2026-02-05 10:33:21.912943
The portal cannot access after password reset.,IT,2026-01-21 23:12:39.912943
My timetable is missing this week.,Timetable,2026-02-01 17:30:15.912943
I is crashing after password reset.,IT,2026-01-23 23:08:15.912943
I has overlapping classes for this semester.,Timetable,2026-02-13 04:11:11.912943
I has a clash during finals week.,Exams,2026-02-09 16:07:16.912943
My fee payment was declined while paying online.,Fees,2026-01-18 21:28:10.912943
My account is crashing when I try to sign in.,IT,2026-02-15 23:55:24.912943
My timetable is not updated this week.,Timetable,2026-01-22 23:57:30.912943
My timetable is incorrect this week.,Timetable,2026-02-07 23:12:41.912943
I would like to know about student clubs.,General,2026-02-04 20:32:07.913941
My exam need a deferral due to medical reasons.,Exams,2026-02-11 06:19:52.912943
My timetable is incorrect since registration.,Timetable,2026-02-09 11:18:38.912943
I would like to ask about library hours.,General,2026-02-07 00:26:48.912943
My exam need a deferral due to medical reasons.,Exams,2026-01-30 14:14:24.912943
My timetable cannot see on the portal.,Timetable,2026-02-02 11:50:53.912943
The schedule is incorrect since registration.,Timetable,2026-01-22 04:54:25.912943
The exam schedule is not showing this semester.,Exams,2026-01-28 15:33:07.912943
I would like to get information about campus facilities.,General,2026-01-19 19:38:22.912943
My fee payment is showing an error after submission.,Fees,2026-01-23 21:50:47.912943
I would like to know about student clubs.,General,2026-02-04 18:37:12.912943
The exam schedule needs clarification for tomorrow.,Exams,2026-01-18 12:00:07.912943
I won't let me log in when I try to sign in.,IT,2026-01-30 03:26:25.912943
My timetable is incorrect since registration.,Timetable,2026-01-21 11:28:28.912943
I would like to change my contact information.,General,2026-01-28 08:23:18.913941
The schedule is incorrect since registration.,Timetable,2026-02-15 13:58:32.912943
I has a clash due to medical reasons.,Exams,2026-01-18 14:47:01.912943
I is not showing because of emergency.,Exams,2026-01-18 11:43:43.912943
My payment did not go through during checkout.,Fees,2026-02-10 08:31:42.912943
I is crashing during login.,IT,2026-02-01 12:49:07.912943
The exam schedule is not showing for tomorrow.,Exams,2026-02-12 12:31:29.912943
The exam schedule need a deferral during finals week.,Exams,2026-01-18 22:31:24.912943
My fee payment did not go through after submission.,Fees,2026-01-27 03:08:11.912943
The exam schedule needs clarification due to medical reasons.,Exams,2026-01-28 07:36:31.912943
I would like to know about student clubs.,General,2026-01-30 20:25:45.912943
My fee payment failed after submission.,Fees,2026-02-10 15:12:29.912943
The transaction did not go through while paying online.,Fees,2026-02-12 06:23:15.912943
The transaction failed after submission.,Fees,2026-01-21 10:38:27.912943
The tuition fee is showing an error during checkout.,Fees,2026-01-25 03:28:41.912943
My exam need a deferral this semester.,Exams,2026-01-25 07:08:51.912943
The exam schedule is not showing because of emergency.,Exams,2026-01-28 21:20:25.912943
My account is crashing when I try to sign in.,IT,2026-01-19 22:27:13.912943
I is not updated since registration.,Timetable,2026-02-03 06:21:19.912943
My timetable is missing for this semester.,Timetable,2026-01-25 15:27:45.912943
I is not working since yesterday.,IT,2026-01-20 21:19:50.912943
I update my profile details.,General,2026-01-18 04:46:11.912943
My fee payment did not go through while paying online.,Fees,2026-02-12 18:32:19.912943
I is incorrect after enrollment.,Timetable,2026-02-06 06:47:37.912943
I is crashing during login.,IT,2026-02-13 05:10:11.912943
The system won't let me log in after password reset.,IT,2026-01-19 19:49:59.912943
The portal is not working since yesterday.,IT,2026-01-18 03:59:05.912943
The tuition fee did not go through after submission.,Fees,2026-01-27 08:40:12.912943
My exam was missed due to illness during finals week.,Exams,2026-01-19 12:33:07.912943
The transaction failed after submission.,Fees,2026-01-22 04:37:36.912943
The tuition fee is showing an error this afternoon.,Fees,2026-01-21 19:49:22.912943
Can you help me to change my contact information.,General,2026-02-04 09:12:38.912943
The tuition fee is showing an error while paying online.,Fees,2026-02-07 08:40:15.912943
The transaction is showing an error while paying online.,Fees,2026-01-22 19:29:32.912943
I is crashing when I try to sign in.,IT,2026-02-16 11:03:23.912943
The exam schedule was missed due to illness because of emergency.,Exams,2026-02-14 18:18:31.912943
My timetable cannot see on the portal.,Timetable,2026-02-07 07:29:12.912943
Can you help me to ask about library hours.,General,2026-01-31 21:44:02.913941
My exam need a deferral because of emergency.,Exams,2026-02-17 12:50:44.912943
Can you help me to know about student clubs.,General,2026-01-22 05:33:28.913941
I won't let me log in after password reset.,IT,2026-02-02 23:19:47.912943
Moodle keeps showing an error this morning.,IT,2026-01-26 02:14:22.912943
The tuition fee is showing an error during checkout.,Fees,2026-02-09 06:36:22.912943
The transaction was declined after submission.,Fees,2026-02-05 15:15:12.912943
My timetable is not updated after enrollment.,Timetable,2026-02-02 02:19:23.912943
I is missing this week.,Timetable,2026-02-05 23:48:18.912943
I would like to ask about library hours.,General,2026-02-08 05:39:46.912943
I has a clash during finals week.,Exams,2026-02-11 19:58:35.912943
I won't let me log in when I try to sign in.,IT,2026-01-30 18:50:03.912943
I needs clarification for tomorrow.,Exams,2026-01-25 08:54:24.912943
Moodle is not working when I try to sign in.,IT,2026-01-24 15:09:02.912943
Can you help me to change my contact information.,General,2026-01-31 13:45:59.912943
The schedule is not updated since registration.,Timetable,2026-02-03 19:32:44.912943
My timetable is incorrect since registration.,Timetable,2026-01-18 12:33:44.912943
The schedule is incorrect for this semester.,Timetable,2026-02-16 10:39:51.912943
The system is crashing this morning.,IT,2026-02-09 20:37:29.912943
The exam schedule was missed due to illness for tomorrow.,Exams,2026-01-20 20:33:32.912943
The portal is not working during login.,IT,2026-02-03 08:39:32.912943
My exam needs clarification for tomorrow.,Exams,2026-02-07 06:56:11.912943
I is not updated since registration.,Timetable,2026-01-28 04:34:16.912943
My timetable is not updated on the portal.,Timetable,2026-02-04 18:17:44.912943
I cannot see for this semester.,Timetable,2026-02-12 11:16:28.912943
I would like to know about student clubs.,General,2026-02-10 18:43:53.912943
The tuition fee was deducted but not reflected while paying online.,Fees,2026-02-07 02:48:29.912943
The portal keeps showing an error this morning.,IT,2026-02-17 18:24:05.912943
My account won't let me log in since yesterday.,IT,2026-01-18 01:43:59.912943
The system is crashing during login.,IT,2026-01-27 10:40:03.912943
My timetable is missing for this semester.,Timetable,2026-02-02 12:49:30.912943
My exam needs clarification because of emergency.,Exams,2026-02-02 00:22:17.912943
The system keeps showing an error during login.,IT,2026-02-03 02:41:47.912943
The system cannot access when I try to sign in.,IT,2026-01-28 16:14:36.912943
My fee payment was declined yesterday.,Fees,2026-02-14 19:44:05.912943
I would like to ask about library hours.,General,2026-01-22 23:30:16.912943
My exam needs clarification for tomorrow.,Exams,2026-02-14 13:55:32.912943
The schedule is missing on the portal.,Timetable,2026-01-19 12:48:11.912943
The schedule is missing after enrollment.,Timetable,2026-01-31 21:58:35.912943
I change my contact information.,General,2026-02-05 03:23:51.912943
I would like to get information about campus facilities.,General,2026-01-26 19:24:14.912943
The portal is not working after password reset.,IT,2026-02-01 00:23:20.912943
The system cannot access after password reset.,IT,2026-02-04 16:42:57.912943
I change my contact information.,General,2026-01-25 10:06:47.912943
The tuition fee was declined this afternoon.,Fees,2026-01-18 18:18:15.912943
The schedule is incorrect for this semester.,Timetable,2026-01-21 06:26:36.912943
The exam schedule was missed due to illness because of emergency.,Exams,2026-02-01 11:14:42.912943
I is missing after enrollment.,Timetable,2026-01-27 19:31:06.912943
Moodle is not working after password reset.,IT,2026-02-13 13:29:42.912943
Can you help me to ask about library hours.,General,2026-02-08 19:25:14.912943
The schedule cannot see this week.,Timetable,2026-01-18 18:51:41.912943
The schedule has overlapping classes this week.,Timetable,2026-02-15 23:59:36.912943
I would like to ask about library hours.,General,2026-01-28 10:30:53.912943
My payment was deducted but not reflected this afternoon.,Fees,2026-01-20 07:40:43.912943
I is missing this week.,Timetable,2026-02-05 13:58:14.912943
Can you help me to ask about library hours.,General,2026-01-18 16:34:26.912943
I would like to update my profile details.,General,2026-02-14 20:44:09.913941
I is missing after enrollment.,Timetable,2026-02-10 19:11:01.912943
My payment was declined during checkout.,Fees,2026-02-15 13:41:12.912943
The tuition fee failed while paying online.,Fees,2026-01-20 06:03:40.912943
I would like to get information about campus facilities.,General,2026-02-06 12:01:20.912943
My timetable is missing after enrollment.,Timetable,2026-02-12 11:28:09.912943
I change my contact information.,General,2026-01-31 21:52:33.913941
Moodle is not working this morning.,IT,2026-02-12 12:19:58.912943
My timetable cannot see this week.,Timetable,2026-01-18 15:44:00.912943
My fee payment is showing an error this afternoon.,Fees,2026-02-09 10:44:22.912943
My exam was missed due to illness during finals week.,Exams,2026-02-14 06:01:02.912943
The transaction failed while paying online.,Fees,2026-02-05 23:07:07.912943
I is not showing due to medical reasons.,Exams,2026-01-25 10:39:50.912943
The schedule has overlapping classes since registration.,Timetable,2026-01-26 22:44:06.912943
The system won't let me log in after password reset.,IT,2026-02-03 03:37:48.912943
The schedule is not updated since registration.,Timetable,2026-02-03 10:45:31.912943
I change my contact information.,General,2026-01-18 14:23:25.913941
The system cannot access when I try to sign in.,IT,2026-01-31 14:05:46.912943
The tuition fee failed yesterday.,Fees,2026-01-24 21:20:40.912943
My exam need a deferral because of emergency.,Exams,2026-01-29 07:36:55.912943
The schedule is not updated after enrollment.,Timetable,2026-02-03 17:56:48.912943
Can you help me to know about student clubs.,General,2026-02-16 09:38:51.913941
I ask about library hours.,General,2026-01-28 07:03:31.912943
I has a clash because of emergency.,Exams,2026-01-18 02:10:59.912943
My payment failed this afternoon.,Fees,2026-02-04 09:53:18.912943
I cannot see since registration.,Timetable,2026-02-02 19:46:37.912943
I has overlapping classes after enrollment.,Timetable,2026-02-04 10:20:20.912943
My timetable is not updated since registration.,Timetable,2026-01-28 19:33:00.912943
Can you help me to ask about library hours.,General,2026-02-04 18:25:34.913941
My timetable has overlapping classes for this semester.,Timetable,2026-02-11 12:45:04.912943
I is not updated since registration.,Timetable,2026-02-17 17:13:33.912943
